idClasificacion;nombreClasificacion;idActividad
1;HOTEL;1
2;RESTAURANTE;2
3;DISCOTECA;2
4;HOSTERÍA;1
5;CAFETERÍA;2
6;BAR;2
7;HOSTAL;1
8;LODGE;1
9;AGENCIA DE VIAJES DUAL;3
10;AGENCIA DE VIAJES INTERNACIONAL;3
11;AGENCIA DE VIAJES MAYORISTA;3
12;BOLERA;4
13;CABAÑA;1
14;CAMPAMENTO TURÍSTICO;1
15;CASA DE HUÉSPEDES;1
16;CENTRO DE CONVENCIONES;5
17;CENTRO DE RECREACIÓN TURÍSTICA;5
18;CENTRO DE TURISMO COMUNITARIO;6
19;ESTABLECIMIENTO MÓVIL;2
20;FUENTE DE SODA;2
21;HACIENDA TURÍSTICA;1
22;HOSTAL RESIDENCIA;1
23;OPERADOR TURÍSTICO;3
24;SALA DE RECEPCIONES Y BANQUETES;5
25;TERMAS Y BALNEARIOS;4
26;SALA DE BAILE;5
27;REFUGIO;1
28;TRANSPORTE TERRESTRE;7
29;PLAZAS DE COMIDA;2
30;TRANSPORTE MARITIMO Y FLUVIAL;7
31;PEÑA;5
32;RESORT;1
33;ORGANIZADORES DE EVENTOS, CONGRESOS Y CONVENCIONES;5
34;TRANSPORTE AÉREO;7
35;SERVICIO DE CATERING;2
36;PENSION;1
37;PISTA DE PATINAJE;4
